MyCATApache/Mycat-Server
xuexiangjys/XUI
macrozheng/mall-learning
perwendel/spark
lettuce-io/lettuce-core
macrozheng/mall-swarm
apache/jmeter
processing/processing
igniterealtime/Smack
linlinjava/litemall
MovingBlocks/Terasology
jMonkeyEngine/jmonkeyengine
Angel-ML/angel
apache/zookeeper
apache/kylin
stanfordnlp/CoreNLP
jitsi/jitsi
jindrapetrik/jpexs-decompiler
mongodb/mongo-java-driver
dianping/cat
apache/tomcat
querydsl/querydsl
theonedev/onedev
javaparser/javaparser
knowm/XChange
h2database/h2database
tronprotocol/java-tron
java-native-access/jna
Alluxio/alluxio
robolectric/robolectric
apache/groovy
orientechnologies/orientdb
undertow-io/undertow
macrozheng/mall
apache/dubbo
netty/netty
dbeaver/dbeaver
alibaba/nacos
seata/seata
signalapp/Signal-Android
redisson/redisson
jenkinsci/jenkins
eclipse-vertx/vert.x
realm/realm-java
grpc/grpc-java
zaproxy/zaproxy
apereo/cas
languagetool-org/languagetool
spring-projects/spring-security
google/closure-compiler
real-logic/aeron
apache/zeppelin
micronaut-projects/micronaut-core
raphw/byte-buddy
hazelcast/hazelcast
gephi/gephi
apache/hive
vespa-engine/vespa
rstudio/rstudio
pmd/pmd
runelite/runelite
FasterXML/jackson-databind
